product_id,product_name,product_price
48443,Tortilla(6pck),5
44817,White Bread,4
60571,Tomato Ketchup,5.5
55644,Beef,18
67243,Shredded Cheese(350g),7
32815,Eggs(0.5dozen),4.5
11013,Cookies,4.25
79206,Eggs(1.5dozen),11.25
38954,Mustard,4.5
64629,Peanut Butter,4.5
24766,Tortilla(10pck),7.5
38402,Onions(5pck),4
54229,Brown Bread,5
40442,Pork,17
11561,Mushrooms(350g),3.75
24244,Chicken,16
41033,Strawberry Jam,4.75
95501,Eggs(1dozen),7.5
53022,Rice(4kg),11
98168,Butter(550g),6
67542,Biscuits,4.5
10873,Mayonnaise,6
55786,Mushrooms(500g),5.25
98726,Butter(350g),4.75
72729,Cheese(14pckts),6.5
55139,Bananas(6pck),4.5
97856,Hot Sauce,4
93344,Chocolates,5
71494,Cupcakes(6pck),5.5
67561,Apples(5pck),5
18443,Pasta,4.5
97923,Cereal,4
74097,Shredded Cheese(620g),12.5
99196,Rice(2kg),6
